観光地名,市町村,住所１（地番まで),説明,電話番号,営業時間,定休日,料金,ホームページURL
国営武蔵丘陵森林公園,滑川町,山田1920,明治百年を記念して造られた国営公園です。武蔵野の面影が残る緑豊かな自然の中で、サイクリングや散策、自然観察など、ご家族で一日ゆっくり過ごせます。四季を通して紅葉や桜、サルビアなど様々な花が咲き誇り、花の公園としても有名です。また、サイクリングセンターも併設されており、自転車での園内を散策が出来ます。,0493-57-2111,・３月１日～１０月３１日　９：３０～１７：００・１１月１日～１１月３０日：９：３０～１６：３０・１２月１日～２月末日：９：３０～１６：００,・年末年始（１２／３１、１／１）・１月第３・第４月曜日,＜入園料＞大人４００円/小人８０円＜レンタサイクル（３時間料金）＞大人４００円/小人２５０円,http://www.shinrin-koen.go.jp/index.html
稲荷山公園,狭山市,稲荷山１丁目,昭和２０年から米軍が「ジョンソン飛行場」として使用していた跡地の一部を利用した県営公園。園内には狭山の歴史を紹介する博物館もあり、季節ごとの企画展や体験学習などのイベントが楽しめます。また、春には桜・つつじなどが広がり、大勢の観光客で賑わいます。,04-2953-5111,常時開放,無休,無料,http://www.city.sayama.saitama.jp/park/shokai/hidepark/hidepark.htm
所沢航空記念公園,所沢市,並木一丁目１３番地,基地跡地の南東部にあり、広さは約５０ヘクタールの公園です。緑を生かした園内には、池、人工の滝、日本庭園、広場、茶室「彩翔亭」、野外ステージ、テニスコート、野球場、運動場などの施設のほか、「所沢航空発祥記念館」もあり、地元市民や多くの観光客で賑わっています。,04-2998-4388,午前８時３０分～午後５時１５分※施設により利用時間が異なりまので、詳しくは管理事務所にお問い合わせください。,毎週月曜日（休日のときは翌日）、12/31、1/1,入園無料有料施設については、公式ＨＰをご覧ください。,http://www.parks.or.jp/koen_main/tokorozawa-kokuu.html
彩の森入間公園,入間市,向陽台2丁目地内,都市化が進む入間市の市街地に隣接した緑豊かな公園で、定期的に教室やフリーマーケットが行われています。園内にはキバナコスモスやノウゼンカズラ、チューリップなど季節ごとに様々な花が公園を彩っています。秋には紅葉も一面に広がります。,04-2960-1664（彩の森入間公園）,常時開放,なし,無料,http://www.sainomori.com/index.htm
大宮公園,さいたま市,大宮区高鼻町4,明治１８年、埼玉県最初の県営公園として誕生しました。園内には、樹齢百年を超える赤松がそびえる赤松林や、名物の１２００本もの桜をはじめ、新緑や紅葉が美しい樹木が林立しています。また、公式野球場、双輪場（兼陸上競技場）、サッカー場、プール（競泳用）、体育館、弓道場、小動物園、児童遊園地なども併設されています。,048-641-6391,＜小動物園・児童遊園地＞１０時～１６時※その他施設により営業時間が異なりますのでお問い合わせ下さい。,＜小動物園・児童遊園地＞・月曜日（祝日の場合は翌日）・年末年始※その他施設により定休日が異なりますのでお問い合わせ下さい。,＜小動物園・児童遊園地＞無料,http://www.pref.saitama.lg.jp/page/910-20091204-92.html
彩湖・道満グリーンパーク,戸田市,大字重瀬745,荒川を横切るおしゃれな斜張橋が幸魂大橋です。夜にはライトアップされ、その美しさで東京外郭環状道路のシンボルにもなっています。この橋のまわりには、調節池『彩湖』や総合公園『彩湖・道満グリーンパーク』が広がっており、レンタサイクルなどの貸し出しも行っています。また、特別天然記念物として保護されている「サクラソウ」の自生地としても知られています。,048-449-1550,＜４/１～１０/３１＞７：３０～１８：３０＜１１/１～３/３１＞７：３０～１７：３０,無休,無料 ※ドッグラン・スポーツ施設・釣り場は有料です。,http://www.toda-greenpark.or.jp/park/doman/index.html
羽生水郷公園,羽生市,三田ヶ谷751-1,羽生市水郷公園には、食虫植物・ムジナモの自生地として知られる宝蔵寺沼があります。菖蒲田、修景池など水を取り入れた施設を中心に整備され、さらに園内にはさいたま水族館が併設され、多くの観光客で賑わっています。,048-565-1010,常時開放,なし,無料,http://www.parks.or.jp/suizokukan/park.html
秩父ミューズパーク,秩父市,田村1377ほか,秩父の緑豊かな大自然を生かして造られた都市公園です。長尾根丘陵にあり、クラシックやジャズなどさまざまな演奏会が楽しめる野外ステージや音楽堂などがあるほか、スポーツの森には、プール、コテージなどが整備されています。また、梅園もあり季節になると一斉に花を咲かせます。,0494-25-1315（秩父ミューズパーク管理事務所）,９：００～１７：００,各施設ごとに異なりますので、詳細はお問い合わせ下さい。,各施設ごとに異なりますので、詳細はお問い合わせ下さい。,http://www.muse-park.com/
吉川公園,吉川市,下内川、八子新田ほか,江戸川の河川敷に軟式野球場が４面と多目的スポーツ広場（サッカー場２面として使用可能）や、芝の広がる憩いの広場などがあります。家族でのレクリエーションのほか、スポーツ、イベントなどの開催にも対応できる公園として、玉葉橋上流の野球場や、憩いの広場、多目的広場などが整備されています。,048-982-6800（吉川市役所総合体育館）,８：３０～１７：００,・毎月第３月曜日・１２/２９～翌１/３,＜午前８時３０分から午後５時＞ ?学生/県内１，７７０円、県外２，６５０円?大人/県内３，５４０円、県外５，３１０円,http://www.city.yoshikawa.saitama.jp/12，949，21，357.html
久喜菖蒲公園,久喜市,河原井町70,久喜菖蒲公園は、工業団地を造成するために掘ってできた池を中心に整備されたユニークな公園です。池の広さが約３１ヘクタールもあり、全体の約８０％を占めています。池の東西には広場があるほか、周りには、桜並木とサイクリング道路が整備されており、ご家族でお楽しみ頂けます。,0480-23-1366,＜開園時間＞・魚つり７：００～１６：００・ボート１０：００～１７：００・貸自転車１０：００～１７：００※時期により変動あり,・毎週月曜日（休日の場合は翌日）・１２/３１、１/１　※時期により月曜日も開園しますので、詳しくはお問い合わせください。,＜主な料金＞・魚つり１日９９０円・ボート（ローボート）３０分３４０円・貸自転車 １時間２００円,http://www.nem-shiteikanri.jp/shisetsu/kuki/index.html
