麺類大盛分無料、またはライス大盛分無料、または味付玉子半額または温泉玉子半額でご提供※麺類をご注文の方に限ります。セットメニューにも使えます。※ライス大盛分無料は、定食、単品ライスに限ります。※半ラーメン、「麺少なめ」メニュー、ヤキソバ、カタヤキソバ、半ライス、チャーハン、中華丼、天津飯は対象外です。,日高屋　指扇店,さいたま市西区土屋５９４－１鈴木第２ビル１Ｆ,ホームページをご確認ください,店舗により異なる
チーズバーガーハッピーセットを特別価格でご提供いたします。（ブレックファースト時間帯はチキンマックナゲットのハッピーセットを特別価格でご提供いたします。）,マクドナルド　イオン大宮西店,さいたま市西区三橋６－６０７－１３　　　　　　　　　　　　　,９：００～２１：００,※営業時間は店舗により異なります（テナント内の店舗以外は年中無休です）。
チーズバーガーハッピーセットを特別価格でご提供いたします。（ブレックファースト時間帯はチキンマックナゲットのハッピーセットを特別価格でご提供いたします。）,マクドナルド　大宮カインズホーム店,さいたま市西区高木１４８０－２　　　　　　　　　　　　　　　,＊＊＊,※営業時間は店舗により異なります（テナント内の店舗以外は年中無休です）。
チーズバーガーハッピーセットを特別価格でご提供いたします。（ブレックファースト時間帯はチキンマックナゲットのハッピーセットを特別価格でご提供いたします。）,マクドナルド　大宮バイパス三橋店,さいたま市西区三橋５－１６４８－１　　　　　　　　　　　　　,＊＊＊,※営業時間は店舗により異なります（テナント内の店舗以外は年中無休です）。
麺類大盛分無料、またはライス大盛分無料、または味付玉子半額または温泉玉子半額でご提供※麺類をご注文の方に限ります。セットメニューにも使えます。※ライス大盛分無料は、定食、単品ライスに限ります。※半ラーメン、「麺少なめ」メニュー、ヤキソバ、カタヤキソバ、半ライス、チャーハン、中華丼、天津飯は対象外です。,日高屋　大宮三橋店,さいたま市西区三橋６－７０８－１,ホームページをご確認ください,店舗により異なる
お子様おひとりにつき、お子様用ジュース１杯無料サービス,かすがや,さいたま市西区指扇３７５,１１時００分～２２時００分,無休
小学生以下のお子様にお子様ラーメン＋野菜ギョーザ（３コ）を５００円でご提供いたします。,えちごや,さいたま市西区三橋６－１７４３－８６,１１時００分～２０時００分,水曜日
「優待カード」を提示し、食事をされたお子様（中学生以下）１人に、コロッケ半額割引券を１枚進呈します。,山田うどん　指扇店,さいたま市西区　西遊馬　２２４９,６時００分～２２時００分,無
チーズバーガーハッピーセットを特別価格でご提供いたします。（ブレックファースト時間帯はチキンマックナゲットのハッピーセットを特別価格でご提供いたします。）,マクドナルド　１６号指扇店,さいたま市西区宮前町７３３－１　　　　　　　　　　　　　　　,＊＊＊,※営業時間は店舗により異なります（テナント内の店舗以外は年中無休です）。
お子様にアイスサービス！！,和牛炭家さざん,さいたま市西区高木３４１－５,＊＊＊,【営業時間】昼／１１：３０～１４：３０夜／１７：００～２３：００水曜日
