あたご・菅沢集会所,ｱﾀｺﾞｽｶﾞｻﾜｼｭｳｶｲｼﾞｮ,埼玉県新座市あたご3丁目13-6
あたご菅沢すこやか広場,ｱﾀｺﾞｽｶﾞｻﾜｽｺﾔｶﾋﾛﾊﾞ,埼玉県新座市あたご3丁目7-14
栄集会所,ｻｶｴｼｭｳｶｲｼﾞｮ,埼玉県新座市栄1丁目2-24
栄保育園,ｻｶｴﾎｲｸｴﾝ,埼玉県新座市栄2丁目8-17
栄中央集会所,ｻｶｴﾁｭｳｵｳｼｭｳｶｲｼﾞｮ,埼玉県新座市栄4丁目5-23
栄すこやか広場,ｻｶｴｽｺﾔｶﾋﾛﾊﾞ,埼玉県新座市栄4丁目6-8
池田放課後児童保育室,ｲｹﾀﾞﾎｳｶｺﾞｼﾞﾄﾞｳﾎｲｸｼﾂ,埼玉県新座市栄5丁目11-26
栄五丁目集会所,ｻｶｴｺﾞﾁｮｳﾒｼｭｳｶｲｼﾞｮ,埼玉県新座市栄5丁目2-17
栗原小学校,ｸﾘﾊﾗｼｮｳｶﾞｯｺｳ,埼玉県新座市栗原1丁目5-1
栗原の森集会所,ｸﾘﾊﾗﾉﾓﾘｼｭｳｶｲｼﾞｮ,埼玉県新座市栗原2丁目4-41
第二保育園,ﾀﾞｲﾆﾎｲｸｴﾝ,埼玉県新座市栗原3丁目7-40
武野集会所,ﾀｹｼﾉｼｭｳｶｲｼﾞｮ,埼玉県新座市栗原3丁目7-7
栗原公民館,ｸﾘﾊﾗｺｳﾐﾝｶﾝ,埼玉県新座市栗原3丁目8-34
栗原ふれあいの家,ｸﾘﾊﾗﾌﾚｱｲﾉｲｴ,埼玉県新座市栗原5丁目2-15
栗原六丁目集会所,ｸﾘﾊﾗﾛｸﾁｮｳﾒｼｭｳｶｲｼﾞｮ,埼玉県新座市栗原6丁目5-22
新座一丁目集会所,ﾆｲｻﾞｲｯﾁｮｳﾒｼｭｳｶｲｼﾞｮ,埼玉県新座市新座1丁目12-8
新座保育園,ﾆｲｻﾞﾎｲｸｴﾝ,埼玉県新座市新座2丁目14-60
